year,code,jurisdiction,season,tmean_c,tmax_c,precip_mm
1959,AB,Alberta,fire,10.426440440809218,15.875320020107466,364.1492428006316
1960,AB,Alberta,fire,11.467405609793088,17.021765110208463,421.36836914261545
1961,AB,Alberta,fire,13.05685461420959,19.06950325372586,327.7082370556309
1962,AB,Alberta,fire,11.569500807408268,16.991897475701858,447.62011462716475
1963,AB,Alberta,fire,13.092498764649923,18.91468696541893,296.80171616016025
1964,AB,Alberta,fire,11.824215485471106,17.51754561357047,399.6079665555201
1965,AB,Alberta,fire,11.41224357900891,17.244461604888695,314.6644762007344
1966,AB,Alberta,fire,11.960654210904808,17.860599478230633,286.6664092371945
1967,AB,Alberta,fire,12.725952691289917,19.01019253973425,214.48768724813087
1968,AB,Alberta,fire,11.084767172192604,16.731434580148576,335.05338615342214
1969,AB,Alberta,fire,11.66285128416014,17.601978961187996,286.8868373584524
1970,AB,Alberta,fire,12.420643065202153,18.407513777339105,311.36321083149454
1971,AB,Alberta,fire,13.021716711935845,19.037063920190196,344.74024692517764
1972,AB,Alberta,fire,11.530034074015417,17.307447723242465,299.25486544487865
1973,AB,Alberta,fire,12.257451503374233,17.852218517959724,424.7554790295468
1974,AB,Alberta,fire,10.686462229006667,16.118189829436325,347.0623869410147
1975,AB,Alberta,fire,12.00819996404639,17.405806924553715,403.47321357538385
1976,AB,Alberta,fire,12.746456069187925,18.271705896916313,382.4016683549108
1977,AB,Alberta,fire,11.518027679980937,16.778690437601462,417.25242390405583
1978,AB,Alberta,fire,11.815539246546262,17.429775071075753,401.23376392087783
1979,AB,Alberta,fire,12.401552485000567,18.056672202192317,319.3540725337724
1980,AB,Alberta,fire,12.405632087443296,17.775997648339892,402.90743798095167
1981,AB,Alberta,fire,14.024028387965835,20.00890918496431,273.90266868008
1982,AB,Alberta,fire,12.32102909657339,17.956796638251603,322.6199059262308
1983,AB,Alberta,fire,11.83672764974492,17.477449210995953,363.51412241749165
1984,AB,Alberta,fire,11.770157198415314,17.2398324535408,413.86853635390077
1985,AB,Alberta,fire,11.832460614059713,17.722857589392255,328.62306471517843
1986,AB,Alberta,fire,12.09543056928535,17.760746226914605,378.329520071754
